,Side,Size,Price
737,Sell,78,12517
738,Sell,300,12514.5
739,Sell,825,12510
740,Sell,5000,12500.5
741,Sell,50136,12500
742,Sell,100,12499
743,Sell,989,12490.5
744,Sell,1000,12488
745,Sell,600,12481
746,Sell,64,12474
747,Sell,2058,12466.5
748,Sell,131,12463
749,Sell,2000,12458
750,Sell,2000,12450.5
751,Sell,485,12445
752,Sell,1000000,12423
753,Sell,78,12414
754,Sell,110,12412.5
755,Sell,500,12404.5
756,Sell,16560,12400
757,Sell,1536,12397.5
758,Sell,4271,12380
759,Sell,1500,12377
760,Sell,1000,12376.5
761,Sell,33,12375
762,Sell,600,12373.5
763,Sell,872,12373
764,Sell,720,12369
765,Sell,979,12366
766,Sell,1000,12353.5
767,Sell,17337,12350
768,Sell,300,12339
769,Sell,35,12332.5
770,Sell,11000,12313
771,Sell,20,12312
772,Sell,77,12310
773,Sell,3000,12301.5
774,Sell,17750,12300
775,Sell,1000,12299
776,Sell,100,12280
777,Sell,8088,12270
778,Sell,109,12265.5
779,Sell,100,12255
780,Sell,20000,12250
781,Sell,250,12248
782,Sell,969,12242
783,Sell,825,12235.5
784,Sell,100,12230
785,Sell,600,12226
786,Sell,4000,12222
787,Sell,50,12219
788,Sell,300,12216.5
789,Sell,76,12207
790,Sell,100,12205
791,Sell,200,12202
792,Sell,610550,12200
793,Sell,200,12198.5
794,Sell,1000,12197
795,Sell,1000,12190
796,Sell,1536,12188.5
797,Sell,33,12188
798,Sell,2058,12183.5
799,Sell,231,12180
800,Sell,600,12176
801,Sell,45,12170
802,Sell,5000,12167
803,Sell,7508,12160
804,Sell,45,12140
805,Sell,70,12123
806,Sell,2000,12122
807,Sell,3000,12120.5
808,Sell,108,12120
809,Sell,959,12119.5
810,Sell,10,12119
811,Sell,400,12116
812,Sell,45,12110
813,Sell,76,12103
814,Sell,250750,12100
815,Sell,872,12098
816,Sell,100,12088
817,Sell,45,12080
818,Sell,600,12078
819,Sell,490,12060
820,Sell,7028,12050
821,Sell,100,12032.5
822,Sell,20000,12027
823,Sell,2000,12022
824,Sell,45,12020
825,Sell,50,12015
826,Sell,100,12010
827,Sell,5000,12009
828,Sell,7680,12001
829,Sell,164721,12000
830,Sell,950,11998.5
831,Sell,131,11990.5
832,Sell,1065,11990
833,Sell,100000,11989
834,Sell,250,11987
835,Sell,400,11985
836,Sell,1536,11979.5
837,Sell,108,11976
838,Sell,30,11973
839,Sell,560,11969
840,Sell,2000,11963
841,Sell,825,11960.5
842,Sell,45,11960
843,Sell,1000,11959.5
844,Sell,2000,11958
845,Sell,2000,11950.5
846,Sell,100,11946
847,Sell,645,11930
848,Sell,4000,11922
849,Sell,4263,11900
850,Sell,400,11899.5
851,Sell,5000,11899
852,Sell,131,11897
853,Sell,392,11888
854,Sell,24100,11880
855,Sell,600,11879
856,Sell,940,11878.5
857,Sell,200,11870.5
858,Sell,45,11870
859,Sell,10000,11864.5
860,Sell,10000,11841
861,Sell,45,11840.5
862,Sell,45,11840
863,Sell,107,11834
